EPL-IN,GC,M/TC,OSs,PGC,Genes
0.02429610850310559,0.0036430348873926167,0.0045433095807590465,0.0,0.010444481626107503,Ccdc159
0.017486485173913043,0.004763081597863943,0.002981687381288614,0.0,0.002880465123449498,Ccdc160
0.0,0.001259044409914093,0.0,0.0,0.0,Ccdc162
0.08327614467701863,0.05706475435500348,0.09408360337422775,0.040293352710833334,0.152075407760189,Ccdc167
0.0,0.005121343791502206,0.0018253516593115622,0.0,0.004030083709391613,Ccdc17
0.0,0.0,0.0,0.0015564248133333335,0.0,Ccdc170
0.0,0.0028263856184118875,0.0022131330220653135,0.0,0.0,Ccdc24
0.0,0.0004942640067332251,0.0024429952621359222,0.0,0.003289570936798582,Ccdc3
0.019575939819875775,0.05053687317529601,0.011216398371579877,0.0089091883625,0.03660501058062612,Ccdc30
0.0,0.0027815090857905736,0.00571374420564872,0.033685192650833334,0.004363826722976964,Ccdc33
0.0,0.0004920653662642211,0.0,0.009470758193333333,0.0,Ccdc40
0.030096120788819878,0.0018916353529138611,0.002799038593115622,0.0009692235966666667,0.0016632638617838159,Ccdc60
0.0,0.0,0.0,0.0020809891158333335,0.0,Ccdc64b
0.0,0.008727518075226376,0.007427848212709621,0.007267142353333333,0.020220465575310098,Ccdc65
0.0,0.00018834016287439052,0.0,0.0,0.0,Ccdc68
0.0,0.007141970668562807,0.0044412018817299205,0.017004943807500002,0.005988597951565269,Ccdc73
0.08762400039130434,0.006704380859182727,0.016271253156222416,0.006292943965,0.010898448686946246,Ccdc80
0.0,0.00025615542280009283,0.0,0.0,0.0,Ccdc85c
0.0,0.00013358079846761088,0.0,0.0,0.0,Ccdc87
0.0,0.000862299667634084,0.0009579208896734334,0.002247280853333333,0.0006682744022445364,Ccdc88c
0.0,0.0010829677061759927,0.0,0.0,0.0065512659019492025,Ccdc89
0.01338919349689441,0.08896020560320404,0.04911804573698145,0.0282783074275,0.19930811252155936,Ccdc90b
0.0,0.0020205250603668443,0.001335050375992939,0.004627866505833333,0.006216595578263437,Ccdc96
0.0,0.007662594055374971,0.016709282548985,0.0,0.005952533417601891,Cchcr1
0.7375871160186335,0.14463146203146035,1.9875926662312458,0.2385482047250001,0.2533429067471943,Cck
0.01683877003726708,0.00027838338518690504,0.0008498304060017653,0.0,0.000712570297696397,Ccl19
0.0,0.0016268550423728812,0.004023798429832304,0.0021805763283333337,0.005042243189013586,Ccl2
0.0,0.008454494536104017,0.018568774176522508,0.00445251237,0.005697438822799764,Ccl3
0.0,0.008807983340492221,0.02475777209532215,0.010627353060833334,0.012090320703484935,Ccl4
0.017209414360248445,0.004303306839447411,0.007618984943512797,0.002199446621666667,0.006105903730064974,Ccl7
0.0,0.002575748481193406,0.0,0.0,0.0018601720620200826,Ccna2
0.0058304515714285715,0.0010730302775713955,0.0033704595436893207,0.002362267085833333,0.0,Ccnb1
0.01697065501863354,0.005474455117599257,0.002018399696381289,0.0,0.0024859010756054342,Ccnb2
0.055743128838509313,0.049671667270838174,0.04051163959752868,0.02273861431833333,0.11014906258830473,Ccnd3
0.04525286401863354,0.005127347457162758,0.01557321958517211,0.0013758510008333334,0.012910392401063203,Ccne1
0.0,0.007235984327490132,0.005673618233892321,0.0,0.00327727222268163,Ccnf
0.0,0.0009743565160204318,0.0004596714518976169,0.0,0.007925335186650917,Ccnjl
0.0,0.004680942789180404,0.004209131532215357,0.0014052509858333334,0.0,Ccno
0.0,0.00020656695344787557,0.0,0.0020517639433333336,0.0,Ccr1
0.012619143838509319,0.0009705290474808451,0.004655604270962048,0.0,0.0023653012215002953,Ccr10
